e_field charge_filename light_filename charge_thresholds light_samples
205.986 packet-0050001-2024_07_01_18_19_29_CDT.h5 mpd_run_hvramp_rctl_087_p41.data high 256
205.986 packet-0050001-2024_07_01_18_29_30_CDT.h5 mpd_run_hvramp_rctl_087_p42.data high 256
205.986 packet-0050001-2024_07_01_18_29_30_CDT.h5 mpd_run_hvramp_rctl_087_p43.data high 256
205.986 packet-0050001-2024_07_01_18_39_31_CDT.h5 mpd_run_hvramp_rctl_087_p44.data high 256
205.986 packet-0050001-2024_07_01_18_39_31_CDT.h5 mpd_run_hvramp_rctl_087_p45.data high 256
205.986 packet-0050001-2024_07_01_18_49_32_CDT.h5 mpd_run_hvramp_rctl_087_p46.data high 256
205.986 packet-0050001-2024_07_01_18_49_32_CDT.h5 mpd_run_hvramp_rctl_087_p47.data high 256
205.986 packet-0050001-2024_07_01_18_59_33_CDT.h5 mpd_run_hvramp_rctl_087_p48.data high 256
205.986 packet-0050001-2024_07_01_18_59_33_CDT.h5 mpd_run_hvramp_rctl_087_p49.data high 256
205.986 packet-0050001-2024_07_01_19_09_34_CDT.h5 mpd_run_hvramp_rctl_087_p50.data high 256
205.986 packet-0050001-2024_07_01_19_09_34_CDT.h5 mpd_run_hvramp_rctl_087_p51.data high 256
205.986 packet-0050001-2024_07_01_19_19_35_CDT.h5 mpd_run_hvramp_rctl_087_p52.data high 256
205.986 packet-0050001-2024_07_01_19_19_35_CDT.h5 mpd_run_hvramp_rctl_087_p53.data high 256
205.986 packet-0050001-2024_07_01_19_29_36_CDT.h5 mpd_run_hvramp_rctl_087_p54.data high 256
205.986 packet-0050001-2024_07_01_19_29_36_CDT.h5 mpd_run_hvramp_rctl_087_p54.data high 256
205.986 packet-0050001-2024_07_01_19_29_36_CDT.h5 mpd_run_hvramp_rctl_087_p54.data high 256
205.986 packet-0050001-2024_07_01_19_29_36_CDT.h5 mpd_run_hvramp_rctl_087_p55.data high 256
205.986 packet-0050001-2024_07_01_19_39_37_CDT.h5 mpd_run_hvramp_rctl_087_p56.data high 256
205.986 packet-0050001-2024_07_01_19_39_37_CDT.h5 mpd_run_hvramp_rctl_087_p57.data high 256
205.986 packet-0050001-2024_07_01_19_49_38_CDT.h5 mpd_run_hvramp_rctl_087_p58.data high 256
205.986 packet-0050001-2024_07_01_19_49_38_CDT.h5 mpd_run_hvramp_rctl_087_p59.data high 256
205.986 packet-0050001-2024_07_01_19_59_39_CDT.h5 mpd_run_hvramp_rctl_087_p60.data high 256
205.986 packet-0050001-2024_07_01_19_59_39_CDT.h5 mpd_run_hvramp_rctl_087_p61.data high 256
205.986 packet-0050001-2024_07_01_19_59_39_CDT.h5 mpd_run_hvramp_rctl_087_p62.data high 256
205.986 packet-0050001-2024_07_01_20_09_40_CDT.h5 mpd_run_hvramp_rctl_087_p62.data high 256
205.986 packet-0050001-2024_07_01_20_09_40_CDT.h5 mpd_run_hvramp_rctl_087_p63.data high 256
205.986 packet-0050001-2024_07_01_20_09_40_CDT.h5 mpd_run_hvramp_rctl_087_p64.data high 256
205.986 packet-0050001-2024_07_01_20_19_42_CDT.h5 mpd_run_hvramp_rctl_087_p64.data high 256
205.986 packet-0050001-2024_07_01_20_19_42_CDT.h5 mpd_run_hvramp_rctl_087_p65.data high 256
205.986 packet-0050001-2024_07_01_20_19_42_CDT.h5 mpd_run_hvramp_rctl_087_p66.data high 256
205.986 packet-0050001-2024_07_01_20_29_43_CDT.h5 mpd_run_hvramp_rctl_087_p66.data high 256
205.986 packet-0050001-2024_07_01_20_29_43_CDT.h5 mpd_run_hvramp_rctl_087_p67.data high 256
205.986 packet-0050001-2024_07_01_20_29_43_CDT.h5 mpd_run_hvramp_rctl_087_p68.data high 256
205.986 packet-0050001-2024_07_01_20_39_44_CDT.h5 mpd_run_hvramp_rctl_087_p68.data high 256
205.986 packet-0050001-2024_07_01_20_39_44_CDT.h5 mpd_run_hvramp_rctl_087_p69.data high 256
205.986 packet-0050001-2024_07_01_20_39_44_CDT.h5 mpd_run_hvramp_rctl_087_p70.data high 256
205.986 packet-0050001-2024_07_01_20_49_45_CDT.h5 mpd_run_hvramp_rctl_087_p70.data high 256
205.986 packet-0050001-2024_07_01_20_49_45_CDT.h5 mpd_run_hvramp_rctl_087_p71.data high 256
205.986 packet-0050001-2024_07_01_20_49_45_CDT.h5 mpd_run_hvramp_rctl_087_p72.data high 256
205.986 packet-0050001-2024_07_01_20_59_46_CDT.h5 mpd_run_hvramp_rctl_087_p72.data high 256
205.986 packet-0050001-2024_07_01_20_59_46_CDT.h5 mpd_run_hvramp_rctl_087_p73.data high 256
205.986 packet-0050001-2024_07_01_20_59_46_CDT.h5 mpd_run_hvramp_rctl_087_p74.data high 256
205.986 packet-0050001-2024_07_01_21_09_47_CDT.h5 mpd_run_hvramp_rctl_087_p74.data high 256
205.986 packet-0050001-2024_07_01_21_09_47_CDT.h5 mpd_run_hvramp_rctl_087_p75.data high 256
205.986 packet-0050001-2024_07_01_21_09_47_CDT.h5 mpd_run_hvramp_rctl_087_p76.data high 256
205.986 packet-0050001-2024_07_01_21_19_48_CDT.h5 mpd_run_hvramp_rctl_087_p76.data high 256
205.986 packet-0050001-2024_07_01_21_19_48_CDT.h5 mpd_run_hvramp_rctl_087_p77.data high 256
205.986 packet-0050001-2024_07_01_21_29_49_CDT.h5 mpd_run_hvramp_rctl_087_p78.data high 256
205.986 packet-0050001-2024_07_01_21_29_49_CDT.h5 mpd_run_hvramp_rctl_087_p79.data high 256
205.986 packet-0050001-2024_07_01_21_29_49_CDT.h5 mpd_run_hvramp_rctl_087_p80.data high 256
205.986 packet-0050001-2024_07_01_21_39_50_CDT.h5 mpd_run_hvramp_rctl_087_p80.data high 256
