e_field charge_filename light_filename charge_thresholds light_samples
-0.858 packet-0020002-2024_10_25_17_57_50_CEST.h5 mpd_run_data_rctl_024_p0.data high 256
0.890 packet-0020002-2024_10_25_17_57_50_CEST.h5 mpd_run_data_rctl_024_p1.data high 256
10.524 packet-0020002-2024_10_25_18_00_58_CEST.h5 mpd_run_data_rctl_024_p1.data high 256
18.018 packet-0020002-2024_10_25_18_03_59_CEST.h5 mpd_run_data_rctl_024_p1.data high 256
45.222 packet-0020002-2024_10_25_18_03_59_CEST.h5 mpd_run_data_rctl_024_p2.data high 256
74.586 packet-0020002-2024_10_25_18_07_00_CEST.h5 mpd_run_data_rctl_024_p2.data high 256
90.501 packet-0020002-2024_10_25_18_07_00_CEST.h5 mpd_run_data_rctl_024_p3.data high 256
101.054 packet-0020002-2024_10_25_18_10_01_CEST.h5 mpd_run_data_rctl_024_p3.data high 256
106.912 packet-0020002-2024_10_25_18_10_01_CEST.h5 mpd_run_data_rctl_024_p4.data high 256
113.839 packet-0020002-2024_10_25_18_13_03_CEST.h5 mpd_run_data_rctl_024_p4.data high 256
144.865 packet-0020002-2024_10_25_18_13_03_CEST.h5 mpd_run_data_rctl_023_p5.data high 256
171.212 packet-0020002-2024_10_25_18_16_04_CEST.h5 mpd_run_data_rctl_023_p5.data high 256
193.165 packet-0020002-2024_10_25_18_16_04_CEST.h5 mpd_run_data_rctl_024_p6.data high 256
213.334 packet-0020002-2024_10_25_18_19_06_CEST.h5 mpd_run_data_rctl_024_p6.data high 256
226.441 packet-0020002-2024_10_25_18_19_06_CEST.h5 mpd_run_data_rctl_024_p7.data high 256
257.987 packet-0020002-2024_10_25_18_22_24_CEST.h5 mpd_run_data_rctl_024_p7.data high 256
299.459 packet-0020002-2024_10_25_18_22_24_CEST.h5 mpd_run_data_rctl_024_p8.data high 256
314.945 packet-0020002-2024_10_25_18_25_38_CEST.h5 mpd_run_data_rctl_024_p8.data high 256
336.703 packet-0020002-2024_10_25_18_25_38_CEST.h5 mpd_run_data_rctl_024_p9.data high 256
343.765 packet-0020002-2024_10_25_18_29_01_CEST.h5 mpd_run_data_rctl_024_p9.data high 256
360.054 packet-0020002-2024_10_25_18_29_01_CEST.h5 mpd_run_data_rctl_024_p10.data high 256
382.119 packet-0020002-2024_10_25_18_32_31_CEST.h5 mpd_run_data_rctl_024_p10.data high 256
382.109 packet-0020002-2024_10_25_18_32_31_CEST.h5 mpd_run_data_rctl_024_p11.data high 256
412.948 packet-0020002-2024_10_25_18_35_44_CEST.h5 mpd_run_data_rctl_024_p11.data high 256
449.875 packet-0020002-2024_10_25_18_35_44_CEST.h5 mpd_run_data_rctl_024_p12.data high 256
473.973 packet-0020002-2024_10_25_18_39_09_CEST.h5 mpd_run_data_rctl_024_p12.data high 256
503.877 packet-0020002-2024_10_25_18_39_09_CEST.h5 mpd_run_data_rctl_024_p13.data high 256
526.580 packet-0020002-2024_10_25_18_42_40_CEST.h5 mpd_run_data_rctl_024_p13.data high 256
533.309 packet-0020002-2024_10_25_18_42_40_CEST.h5 mpd_run_data_rctl_024_p14.data high 256
533.304 packet-0020002-2024_10_25_18_45_59_CEST.h5 mpd_run_data_rctl_024_p14.data high 256
533.308 packet-0020002-2024_10_25_18_45_59_CEST.h5 mpd_run_data_rctl_024_p15.data high 256
533.294 packet-0020002-2024_10_25_18_49_16_CEST.h5 mpd_run_data_rctl_024_p15.data high 256
533.287 packet-0020002-2024_10_25_18_49_16_CEST.h5 mpd_run_data_rctl_024_p16.data high 256
533.301 packet-0020002-2024_10_25_18_52_33_CEST.h5 mpd_run_data_rctl_024_p16.data high 256
533.292 packet-0020002-2024_10_25_18_52_33_CEST.h5 mpd_run_data_rctl_024_p17.data high 256
533.284 packet-0020002-2024_10_25_18_56_04_CEST.h5 mpd_run_data_rctl_024_p17.data high 256
533.283 packet-0020002-2024_10_25_18_56_04_CEST.h5 mpd_run_data_rctl_024_p18.data high 256
533.283 packet-0020002-2024_10_25_18_59_19_CEST.h5 mpd_run_data_rctl_024_p18.data high 256
533.286 packet-0020002-2024_10_25_18_59_19_CEST.h5 mpd_run_data_rctl_024_p19.data high 256
533.278 packet-0020002-2024_10_25_19_02_30_CEST.h5 mpd_run_data_rctl_024_p19.data high 256
533.276 packet-0020003-2024_10_25_19_08_37_CEST.h5 mpd_run_data_rctl_025_p0.data high 256
533.280 packet-0020003-2024_10_25_19_08_37_CEST.h5 mpd_run_data_rctl_025_p1.data high 256
533.267 packet-0020003-2024_10_25_19_11_55_CEST.h5 mpd_run_data_rctl_025_p1.data high 256
533.284 packet-0020003-2024_10_25_19_11_55_CEST.h5 mpd_run_data_rctl_025_p2.data high 256
533.268 packet-0020003-2024_10_25_19_15_08_CEST.h5 mpd_run_data_rctl_025_p2.data high 256
533.269 packet-0020003-2024_10_25_19_18_10_CEST.h5 mpd_run_data_rctl_025_p3.data high 256
533.289 packet-0020003-2024_10_25_19_21_12_CEST.h5 mpd_run_data_rctl_025_p3.data high 256
533.262 packet-0020003-2024_10_25_19_21_12_CEST.h5 mpd_run_data_rctl_025_p4.data high 256
533.247 packet-0020003-2024_10_25_19_24_13_CEST.h5 mpd_run_data_rctl_025_p4.data high 256
533.255 packet-0020003-2024_10_25_19_24_13_CEST.h5 mpd_run_data_rctl_025_p5.data high 256
533.264 packet-0020003-2024_10_25_19_27_15_CEST.h5 mpd_run_data_rctl_025_p5.data high 256
533.262 packet-0020003-2024_10_25_19_27_15_CEST.h5 mpd_run_data_rctl_025_p6.data high 256
533.261 packet-0020003-2024_10_25_19_30_16_CEST.h5 mpd_run_data_rctl_025_p6.data high 256
533.253 packet-0020003-2024_10_25_19_30_16_CEST.h5 mpd_run_data_rctl_025_p7.data high 256
533.252 packet-0020003-2024_10_25_19_33_17_CEST.h5 mpd_run_data_rctl_025_p7.data high 256
533.263 packet-0020003-2024_10_25_19_33_17_CEST.h5 mpd_run_data_rctl_025_p8.data high 256
533.257 packet-0020003-2024_10_25_19_36_18_CEST.h5 mpd_run_data_rctl_025_p8.data high 256
533.245 packet-0020003-2024_10_25_19_36_18_CEST.h5 mpd_run_data_rctl_025_p9.data high 256
533.248 packet-0020003-2024_10_25_19_39_25_CEST.h5 mpd_run_data_rctl_025_p9.data high 256
533.259 packet-0020003-2024_10_25_19_39_25_CEST.h5 mpd_run_data_rctl_025_p10.data high 256
533.240 packet-0020003-2024_10_25_19_42_42_CEST.h5 mpd_run_data_rctl_025_p10.data high 256
533.234 packet-0020003-2024_10_25_19_42_42_CEST.h5 mpd_run_data_rctl_025_p11.data high 256
533.239 packet-0020003-2024_10_25_19_46_07_CEST.h5 mpd_run_data_rctl_025_p11.data high 256
533.243 packet-0020003-2024_10_25_19_46_07_CEST.h5 mpd_run_data_rctl_025_p12.data high 256
533.238 packet-0020003-2024_10_25_19_49_29_CEST.h5 mpd_run_data_rctl_025_p12.data high 256
533.253 packet-0020003-2024_10_25_19_49_29_CEST.h5 mpd_run_data_rctl_025_p13.data high 256
533.237 packet-0020003-2024_10_25_19_52_46_CEST.h5 mpd_run_data_rctl_025_p13.data high 256
533.248 packet-0020003-2024_10_25_19_52_46_CEST.h5 mpd_run_data_rctl_025_p14.data high 256
533.245 packet-0020003-2024_10_25_19_56_06_CEST.h5 mpd_run_data_rctl_025_p14.data high 256
533.245 packet-0020003-2024_10_25_19_56_06_CEST.h5 mpd_run_data_rctl_025_p15.data high 256
